('北京 Beijing', '北京首都国际机场(Beijing Capital International)', 'PEK', 'ZBAA', '机场三字码：PEK', '机场四字码：ZBAA', 'FAA代码：', '城市：北京（Beijing）', '电话：0086 10 96158', '机场所在地时间：2019-3-30 01:06:32', '机场跑道：12468 英尺', '机场跑道：3790 米')
('松原 Songyuan', '松原查干湖机场(Songyuan Chaganhu)', 'YSQ', 'ZYSQ', '机场三字码：YSQ', '机场四字码：ZYSQ', 'FAA代码：', '城市：松原（Songyuan）', '电话：', '机场所在地时间：2019-3-30 01:08:01', '机场跑道：', '机场跑道：')
('济宁 Jining', '济宁曲阜机场(Jining Qufu)', 'JNG', 'ZLJN', '机场三字码：JNG', '机场四字码：ZLJN', 'FAA代码：', '城市：济宁（Jining）', '电话：', '机场所在地时间：2019-3-30 01:08:02', '机场跑道： 英尺', '机场跑道：0 米')
('连云港 Lianyungang', '连云港白塔埠机场(Lianyungang)', 'LYG', 'ZSLG', '机场三字码：LYG', '机场四字码：ZSLG', 'FAA代码：', '城市：连云港（Lianyungang）', '电话：', '机场所在地时间：2019-3-30 01:08:02', '机场跑道： 英尺', '机场跑道：0 米')
('东营 Dongying', '东营胜利机场(Dongying Shengli)', 'DOY', 'ZSDY', '机场三字码：DOY', '机场四字码：ZSDY', 'FAA代码：', '城市：东营（Dongying）', '电话：', '机场所在地时间：2019-3-30 02:08:03', '机场跑道： 英尺', '机场跑道：0 米')
('怀化 Huaihua', '怀化芷江机场(Zhijiang)', 'HJJ', 'ZGCJ', '机场三字码：HJJ', '机场四字码：ZGCJ', 'FAA代码：', '城市：怀化（Huaihua）', '电话：', '机场所在地时间：2019-3-30 01:08:04', '机场跑道： 英尺', '机场跑道：0 米')
('洛阳 Luoyang', '洛阳北郊机场(Luoyang)', 'LYA', 'ZHLY', '机场三字码：LYA', '机场四字码：ZHLY', 'FAA代码：', '城市：洛阳（Luoyang）', '电话：', '机场所在地时间：2019-3-30 01:08:04', '机场跑道： 英尺', '机场跑道：0 米')
('连城 Longyan', '福建龙岩冠豸山机场(Longyan Guanzhishan)', 'LCX', 'ZSLD', '机场三字码：LCX', '机场四字码：ZSLD', 'FAA代码：', '城市：连城（Longyan）', '电话：', '机场所在地时间：2019-3-30 01:08:05', '机场跑道： 英尺', '机场跑道：0 米')
('临沂 Linyi', '临沂沭埠岭机场(Shubuling)', 'LYI', 'ZSLY', '机场三字码：LYI', '机场四字码：ZSLY', 'FAA代码：', '城市：临沂（Linyi）', '电话：', '机场所在地时间：2019-3-30 01:08:07', '机场跑道： 英尺', '机场跑道：0 米')
('HUALIEN HualienCity', '花莲机场(Hualien)', 'HUN', 'RCYU', '机场三字码：HUN', '机场四字码：RCYU', 'FAA代码：', '城市：HUALIEN（Hualien City）', '电话：', '机场所在地时间：2019-3-30 01:08:07', '机场跑道：9022 英尺', '机场跑道：2743 米')
('台东 TaitungCity', '台东丰年机场(Taitung)', 'TTT', 'RCFN', '机场三字码：TTT', '机场四字码：RCFN', 'FAA代码：', '城市：台东（Taitung City）', '电话：886-89-362-530', '机场所在地时间：2019-3-30 01:08:08', '机场跑道：7999 英尺', '机场跑道：2432 米')
('长治 Changzhi', '长治王村机场(Changzhi)', 'CIH', 'ZBCZ', '机场三字码：CIH', '机场四字码：ZBCZ', 'FAA代码：', '城市：长治（Changzhi）', '电话：', '机场所在地时间：2019-3-30 01:08:09', '机场跑道： 英尺', '机场跑道：0 米')
('宜春 Yichun', '宜春明月山机场(Yichun Mingyueshan)', 'YIC', 'ZSYC', '机场三字码：YIC', '机场四字码：ZSYC', 'FAA代码：', '城市：宜春（Yichun）', '电话：', '机场所在地时间：2019-3-30 01:08:10', '机场跑道：7874', '机场跑道：2400')
('柳州 Liuzhou', '柳州白莲机场(Bailian)', 'LZH', 'ZGZH', '机场三字码：LZH', '机场四字码：ZGZH', 'FAA代码：', '城市：柳州（Liuzhou）', '电话：', '机场所在地时间：2019-3-30 01:08:11', '机场跑道： 英尺', '机场跑道：0 米')
('万州 Wanxian', '万州五桥机场(Wanxian)', 'WXN', 'ZUWX', '机场三字码：WXN', '机场四字码：ZUWX', 'FAA代码：', '城市：万州（Wanxian）', '电话：', '机场所在地时间：2019-3-30 01:08:12', '机场跑道： 英尺', '机场跑道：0 米')
('神农架 Shennongjia', '神农架红坪机场(ShenNongJia Hongping)', 'HPG', 'ZHSN', '机场三字码：HPG', '机场四字码：ZHSN', 'FAA代码：', '城市：神农架（Shennongjia）', '电话：', '机场所在地时间：2019-3-30 01:08:13', '机场跑道：9186', '机场跑道：2800')
('池州 Chizhou', '池州九华山机场(Jiuhuashan)', 'JUH', '', '机场三字码：JUH', '机场四字码：', 'FAA代码：', '城市：池州（Chizhou）', '电话：', '机场所在地时间：2019-3-30 01:08:14', '机场跑道： 英尺', '机场跑道：0 米')
('金门 Shang-I', '金门尚义机场(Kinmen)', 'KNH', 'RCBS', '机场三字码：KNH', '机场四字码：RCBS', 'FAA代码：', '城市：金门（Shang-I）', '电话：', '机场所在地时间：2019-3-30 01:08:15', '机场跑道：9865 英尺', '机场跑道：2999 米')
('锦州 Jinzhou', '锦州湾机场(Jinzhou)', 'JNZ', 'ZYJZ', '机场三字码：JNZ', '机场四字码：ZYJZ', 'FAA代码：', '城市：锦州（Jinzhou）', '电话：', '机场所在地时间：2019-3-30 01:08:16', '机场跑道： 英尺', '机场跑道：0 米')
('兴义 Xingyi', '兴义万峰林机场(Xingyi)', 'ACX', 'ZUYI', '机场三字码：ACX', '机场四字码：ZUYI', 'FAA代码：', '城市：兴义（Xingyi）', '电话：', '机场所在地时间：2019-3-30 01:08:16', '机场跑道： 英尺', '机场跑道：0 米')
('宜宾 Yibin', '宜宾五粮液机场(Yibin Wuliangye Airport)', 'YBP', 'ZUYB', '机场三字码：YBP', '机场四字码：ZUYB', 'FAA代码：', '城市：宜宾（Yibin）', '电话：', '机场所在地时间：2019-3-30 01:08:17', '机场跑道：8530', '机场跑道：2600')
('阿坝 Aba', '阿坝红原机场(Hongyuan)', 'AHJ', '', '机场三字码：AHJ', '机场四字码：', 'FAA代码：', '城市：阿坝（Aba）', '电话：', '机场所在地时间：2019-3-30 01:08:18', '机场跑道：11800 英尺', '机场跑道：3587 米')
('上饶 Shangrao', '上饶三清山机场(Shangrao Sanqingshan Airport)', '', '', '机场三字码：', '机场四字码：', 'FAA代码：', '城市：上饶（Shangrao）', '电话：', '机场所在地时间：2019-3-30 01:08:19', '机场跑道：', '机场跑道：')
('二连浩特 Erenhot', '二连浩特赛乌苏国际机场(Erenhot Saiwusu International)', 'ERL', 'ZBER', '机场三字码：ERL', '机场四字码：ZBER', 'FAA代码：', '城市：二连浩特（Erenhot）', '电话：', '机场所在地时间：2019-3-30 01:08:19', '机场跑道： 英尺', '机场跑道：0 米')
(' TainanCity', '台南机场(Tainan)', 'TNN', 'RCNN', '机场三字码：TNN', '机场四字码：RCNN', 'FAA代码：', '城市：（Tainan City）', '电话：', '机场所在地时间：2019-3-30 01:08:20', '机场跑道：10007 英尺', '机场跑道：3042 米')
('安顺 Anshun', '安顺黄果树机场(Anshun Huangguoshu)', 'AVA', 'ZUAS', '机场三字码：AVA', '机场四字码：ZUAS', 'FAA代码：', '城市：安顺（Anshun）', '电话：', '机场所在地时间：2019-3-30 01:08:21', '机场跑道： 英尺', '机场跑道：0 米')
('恩施 Enshi', '恩施许家坪机场(Enshi)', 'ENH', 'ZHES', '机场三字码：ENH', '机场四字码：ZHES', 'FAA代码：', '城市：恩施（Enshi）', '电话：', '机场所在地时间：2019-3-30 01:08:21', '机场跑道： 英尺', '机场跑道：0 米')
('广汉 CivilAviationFlightUniversityofChina', '广汉机场(Guanghan)', 'GHN', 'ZUGH', '机场三字码：GHN', '机场四字码：ZUGH', 'FAA代码：', '城市：广汉（Civil Aviation Flight University of China）', '电话：', '机场所在地时间：2019-3-30 01:08:22', '机场跑道： 英尺', '机场跑道：0 米')
('佛山 Foshan', '佛山沙堤机场(Foshan Shadi)', 'FUO', 'ZGFS', '机场三字码：FUO', '机场四字码：ZGFS', 'FAA代码：', '城市：佛山（Foshan）', '电话：', '机场所在地时间：2019-3-30 01:08:23', '机场跑道： 英尺', '机场跑道：0 米')
('湛江 Zhanjiang', '湛江国际机场(Zhanjiang International)', '', '', '机场三字码：', '机场四字码：', 'FAA代码：', '城市：湛江（Zhanjiang）', '电话：', '机场所在地时间：2019-3-30 01:08:25', '机场跑道：', '机场跑道：')
('丹东 Dandong', '丹东浪头国际机场(Dandong)', 'DDG', 'ZYDD', '机场三字码：DDG', '机场四字码：ZYDD', 'FAA代码：', '城市：丹东（Dandong）', '电话：', '机场所在地时间：2019-3-30 01:08:26', '机场跑道： 英尺', '机场跑道：0 米')
('佳木斯 Jiamusi', '佳木斯东郊机场(Jiamusi)', 'JMU', 'ZYJM', '机场三字码：JMU', '机场四字码：ZYJM', 'FAA代码：', '城市：佳木斯（Jiamusi）', '电话：', '机场所在地时间：2019-3-30 01:08:29', '机场跑道：7218 英尺', '机场跑道：2194 米')
('牡丹江 Mudanjiang', '牡丹江海浪机场(Mudanjiang Hailang International)', 'MDG', 'ZYMD', '机场三字码：MDG', '机场四字码：ZYMD', 'FAA代码：', '城市：牡丹江（Mudanjiang）', '电话：', '机场所在地时间：2019-3-30 01:08:31', '机场跑道：8530 英尺', '机场跑道：2593 米')
('林芝 Nyingchi', '林芝米林机场(Nyingchi)', 'LZY', 'ZUNZ', '机场三字码：LZY', '机场四字码：ZUNZ', 'FAA代码：', '城市：林芝（Nyingchi）', '电话：', '机场所在地时间：2019-3-29 23:08:33', '机场跑道：9843 英尺', '机场跑道：2992 米')
('鞍山 Anshan', "鞍山腾鳌机场(Anshan Teng'ao)", 'AOG', 'ZYAS', '机场三字码：AOG', '机场四字码：ZYAS', 'FAA代码：', '城市：鞍山（Anshan）', '电话：', '机场所在地时间：2019-3-30 01:08:34', '机场跑道： 英尺', '机场跑道：0 米')
('广元 Guangyuan', '广元盘龙机场(Guangyuan)', 'GYS', 'ZUGU', '机场三字码：GYS', '机场四字码：ZUGU', 'FAA代码：', '城市：广元（Guangyuan）', '电话：', '机场所在地时间：2019-3-30 01:08:34', '机场跑道： 英尺', '机场跑道：0 米')
('嘉峪关 Jiayuguan', '嘉峪关机场(Jiayuguan)', 'JGN', 'ZLJQ', '机场三字码：JGN', '机场四字码：ZLJQ', 'FAA代码：', '城市：嘉峪关（Jiayuguan）', '电话：', '机场所在地时间：2019-3-30 01:08:36', '机场跑道：9834 英尺', '机场跑道：2990 米')
('阜阳 Fuyang', '阜阳西关机场(Fuyang Xiguan)', 'FUG', 'ZSFY', '机场三字码：FUG', '机场四字码：ZSFY', 'FAA代码：', '城市：阜阳（Fuyang）', '电话：', '机场所在地时间：2019-3-30 01:08:37', '机场跑道： 英尺', '机场跑道：0 米')
('景德镇 Jingdezhen', '景德镇罗家机场(Jingdezhen)', 'JDZ', 'ZSJD', '机场三字码：JDZ', '机场四字码：ZSJD', 'FAA代码：', '城市：景德镇（Jingdezhen）', '电话：', '机场所在地时间：2019-3-30 01:08:38', '机场跑道： 英尺', '机场跑道：0 米')
('格尔木 Golmud', '格尔木机场(Golmud)', 'GOQ', 'ZLGM', '机场三字码：GOQ', '机场四字码：ZLGM', 'FAA代码：', '城市：格尔木（Golmud）', '电话：', '机场所在地时间：2019-3-29 23:08:39', '机场跑道：0 英尺', '机场跑道：0 米')
('克拉玛依 Karamay', '克拉玛依机场(Karamay)', 'KRY', 'ZWKM', '机场三字码：KRY', '机场四字码：ZWKM', 'FAA代码：', '城市：克拉玛依（Karamay）', '电话：', '机场所在地时间：2019-3-29 23:08:40', '机场跑道： 英尺', '机场跑道：0 米')
('九寨沟 Jiuzhaigou', '九寨黄龙机场(Jiuzhai Huanglong)', 'JZH', 'ZUJZ', '机场三字码：JZH', '机场四字码：ZUJZ', 'FAA代码：', '城市：九寨沟（Jiuzhaigou）', '电话：', '机场所在地时间：2019-3-30 01:08:40', '机场跑道： 英尺', '机场跑道：0 米')
('WONAN Wang-an', '望安机场(Wang-an)', 'WOT', 'RCWA', '机场三字码：WOT', '机场四字码：RCWA', 'FAA代码：', '城市：WONAN（Wang-an）', '电话：', '机场所在地时间：2019-3-30 01:08:41', '机场跑道：3051 英尺', '机场跑道：928 米')
('达县 Dazhou', '达州河市机场(Dachuan)', 'DAX', 'ZUDX', '机场三字码：DAX', '机场四字码：ZUDX', 'FAA代码：', '城市：达县（Dazhou）', '电话：', '机场所在地时间：2019-3-30 01:08:42', '机场跑道： 英尺', '机场跑道：0 米')
('吉林 Jilin', '吉林二台子机场(Jilin)', 'JIL', 'ZYJL', '机场三字码：JIL', '机场四字码：ZYJL', 'FAA代码：', '城市：吉林（Jilin）', '电话：', '机场所在地时间：2019-3-30 01:08:43', '机场跑道： 英尺', '机场跑道：0 米')
('黔江 Qianjiang', '黔江武陵山机场(Qianjiang Wulingshan)', 'JIQ', '', '机场三字码：JIQ', '机场四字码：', 'FAA代码：', '城市：黔江（Qianjiang）', '电话：', '机场所在地时间：2019-3-30 01:08:45', '机场跑道： 英尺', '机场跑道：0 米')
('长白山 Baishan', '长白山机场(Changbaishan)', 'NBS', '', '机场三字码：NBS', '机场四字码：', 'FAA代码：', '城市：长白山（Baishan）', '电话：', '机场所在地时间：2019-3-30 01:08:46', '机场跑道： 英尺', '机场跑道：0 米')
('长海 Changhai', '大连长海机场(Changhai)', 'CNI', 'ZYCH', '机场三字码：CNI', '机场四字码：ZYCH', 'FAA代码：', '城市：长海（Changhai）', '电话：', '机场所在地时间：2019-3-30 01:08:48', '机场跑道：2625 英尺', '机场跑道：800 米')
('思茅 Simao', '普洱思茅机场(Simao)', 'SYM', 'ZPSM', '机场三字码：SYM', '机场四字码：ZPSM', 'FAA代码：', '城市：思茅（Simao）', '电话：', '机场所在地时间：2019-3-30 01:08:50', '机场跑道： 英尺', '机场跑道：0 米')
('齐齐哈尔 Qiqihar', '齐齐哈尔三家子机场(Qiqihar Sanjiazi)', 'NDG', 'ZYQQ', '机场三字码：NDG', '机场四字码：ZYQQ', 'FAA代码：', '城市：齐齐哈尔（Qiqihar）', '电话：', '机场所在地时间：2019-3-30 01:08:52', '机场跑道：8530 英尺', '机场跑道：2593 米')
('赤峰 Chifeng', '赤峰玉龙机场(Chifeng)', 'CIF', 'ZBCF', '机场三字码：CIF', '机场四字码：ZBCF', 'FAA代码：', '城市：赤峰（Chifeng）', '电话：', '机场所在地时间：2019-3-30 01:08:53', '机场跑道： 英尺', '机场跑道：0 米')
('邯郸 Handan', '邯郸机场(Handan)', 'HDG', 'ZBHD', '机场三字码：HDG', '机场四字码：ZBHD', 'FAA代码：', '城市：邯郸（Handan）', '电话：', '机场所在地时间：2019-3-30 01:08:54', '机场跑道： 英尺', '机场跑道：0 米')
('腾冲 Tengchong', '腾冲驼峰机场(Tengchong Tuofeng)', 'TCZ', 'ZUTC', '机场三字码：TCZ', '机场四字码：ZUTC', 'FAA代码：', '城市：腾冲（Tengchong）', '电话：', '机场所在地时间：2019-3-29 23:08:55', '机场跑道： 英尺', '机场跑道：0 米')
('武夷山 Wuyishan', '武夷山机场(Nanping Wuyishan)', 'WUS', 'ZSWY', '机场三字码：WUS', '机场四字码：ZSWY', 'FAA代码：', '城市：武夷山（Wuyishan）', '电话：', '机场所在地时间：2019-3-30 01:08:57', '机场跑道： 英尺', '机场跑道：0 米')
('喀什 Kashgar', '喀什机场(Kashgar)', 'KHG', 'ZWSH', '机场三字码：KHG', '机场四字码：ZWSH', 'FAA代码：', '城市：喀什（Kashgar）', '电话：', '机场所在地时间：2019-3-29 23:08:58', '机场跑道：10499 英尺', '机场跑道：3192 米')
('临汾 Linfen', '临汾乔李机场(Linfen Qiaoli)', 'LFQ', 'ZBLF', '机场三字码：LFQ', '机场四字码：ZBLF', 'FAA代码：', '城市：临汾（Linfen）', '电话：', '机场所在地时间：2019-3-30 01:08:59', '机场跑道：8530', '机场跑道：2600')
('迪庆 Shangri-La', '迪庆香格里拉机场(Diqing)', 'DIG', 'ZPDQ', '机场三字码：DIG', '机场四字码：ZPDQ', 'FAA代码：', '城市：迪庆（Shangri-La）', '电话：', '机场所在地时间：2019-3-30 01:09:00', '机场跑道： 英尺', '机场跑道：0 米')
('固原 Guyuan', '固原六盘山机场(Guyuan Liupanshan)', 'GYU', 'ZLGY', '机场三字码：GYU', '机场四字码：ZLGY', 'FAA代码：', '城市：固原（Guyuan）', '电话：', '机场所在地时间：2019-3-30 01:09:01', '机场跑道： 英尺', '机场跑道：0 米')
('九江 Jiujiang', '九江庐山机场(Jiujiang Lushan)', 'JIU', 'ZSJJ', '机场三字码：JIU', '机场四字码：ZSJJ', 'FAA代码：', '城市：九江（Jiujiang）', '电话：', '机场所在地时间：2019-3-30 01:09:03', '机场跑道： 英尺', '机场跑道：0 米')
('乌兰浩特 Ulanhot', '乌兰浩特依勒力特机场(Ulanhot)', 'HLH', 'ZBUL', '机场三字码：HLH', '机场四字码：ZBUL', 'FAA代码：', '城市：乌兰浩特（Ulanhot）', '电话：', '机场所在地时间：2019-3-30 01:09:04', '机场跑道： 英尺', '机场跑道：0 米')
('西昌 Xichang', '西昌青山机场(Xichang Qingshan)', 'XIC', 'ZUXC', '机场三字码：XIC', '机场四字码：ZUXC', 'FAA代码：', '城市：西昌（Xichang）', '电话：', '机场所在地时间：2019-3-30 01:09:05', '机场跑道：11811 英尺', '机场跑道：3591 米')
('攀枝花 Panzhihua', '攀枝花保安营机场(Baoanying)', 'PZI', 'ZUZH', '机场三字码：PZI', '机场四字码：ZUZH', 'FAA代码：', '城市：攀枝花（Panzhihua）', '电话：', '机场所在地时间：2019-3-30 01:09:07', '机场跑道： 英尺', '机场跑道：0 米')
('唐山 Tangshan', '唐山三女河机场(Tangshan Sannühe)', 'TVS', 'ZBTS', '机场三字码：TVS', '机场四字码：ZBTS', 'FAA代码：', '城市：唐山（Tangshan）', '电话：', '机场所在地时间：2019-3-30 02:09:08', '机场跑道： 英尺', '机场跑道：0 米')
('和田 Hotan', '和田机场(Hotan)', 'HTN', 'ZWTN', '机场三字码：HTN', '机场四字码：ZWTN', 'FAA代码：', '城市：和田（Hotan）', '电话：', '机场所在地时间：2019-3-29 23:09:09', '机场跑道：10499 英尺', '机场跑道：3192 米')
('通辽 Tongliao', '通辽机场(Tongliao)', 'TGO', 'ZBTL', '机场三字码：TGO', '机场四字码：ZBTL', 'FAA代码：', '城市：通辽（Tongliao）', '电话：', '机场所在地时间：2019-3-30 01:09:10', '机场跑道： 英尺', '机场跑道：0 米')
('阿勒泰 Altay', '阿勒泰机场(ALTAY)', 'AAT', 'ZWAT', '机场三字码：AAT', '机场四字码：ZWAT', 'FAA代码：', '城市：阿勒泰（Altay）', '电话：', '机场所在地时间：2019-3-29 23:09:11', '机场跑道： 英尺', '机场跑道：0 米')
('阿克苏 Aksu', '阿克苏机场(Aksu)', 'AKU', 'ZWAK', '机场三字码：AKU', '机场四字码：ZWAK', 'FAA代码：', '城市：阿克苏（Aksu）', '电话：', '机场所在地时间：2019-3-29 23:09:12', '机场跑道： 英尺', '机场跑道：0 米')
('库尔勒 Korla', '库尔勒机场(Korla)', 'KRL', 'ZWKL', '机场三字码：KRL', '机场四字码：ZWKL', 'FAA代码：', '城市：库尔勒（Korla）', '电话：', '机场所在地时间：2019-3-29 23:09:13', '机场跑道： 英尺', '机场跑道：0 米')
('秦皇岛 Qinhuangdao', '秦皇岛山海关机场(Shanhaiguan)', 'SHP', 'ZBSH', '机场三字码：SHP', '机场四字码：ZBSH', 'FAA代码：', '城市：秦皇岛（Qinhuangdao）', '电话：', '机场所在地时间：2019-3-30 01:09:14', '机场跑道： 英尺', '机场跑道：0 米')
('七美 ChiMei', '七美机场(Chi Mei)', 'CMJ', '', '机场三字码：CMJ', '机场四字码：', 'FAA代码：', '城市：七美（Chi Mei）', '电话：', '机场所在地时间：2019-3-30 01:09:15', '机场跑道： 英尺', '机场跑道：0 米')
('金昌市 Jinchang', '金昌金川机场(Jinchuan)', 'JIC', 'ZLJC', '机场三字码：JIC', '机场四字码：ZLJC', 'FAA代码：', '城市：金昌市（Jinchang）', '电话：', '机场所在地时间：2019-3-30 01:09:16', '机场跑道： 英尺', '机场跑道：0 米')
('安庆 Anqing', '安庆天柱山机场(Anqing)', 'AQG', 'ZSAQ', '机场三字码：AQG', '机场四字码：ZSAQ', 'FAA代码：', '城市：安庆（Anqing）', '电话：', '机场所在地时间：2019-3-30 01:09:17', '机场跑道： 英尺', '机场跑道：0 米')
('黎平 Liping', '黎平机场(Liping)', 'HZH', 'ZUNP', '机场三字码：HZH', '机场四字码：ZUNP', 'FAA代码：', '城市：黎平（Liping）', '电话：', '机场所在地时间：2019-3-30 01:09:18', '机场跑道： 英尺', '机场跑道：0 米')
('阿尔山 Arxan', "阿尔山伊尔施机场(Arxan Yi'ershi)", 'YIE', 'ZBES', '机场三字码：YIE', '机场四字码：ZBES', 'FAA代码：', '城市：阿尔山（Arxan）', '电话：', '机场所在地时间：2019-3-30 01:09:19', '机场跑道：7874', '机场跑道：2400')
('大同 Datong', '大同机场(Datong)', 'DAT', 'ZBDT', '机场三字码：DAT', '机场四字码：ZBDT', 'FAA代码：', '城市：大同（Datong）', '电话：', '机场所在地时间：2019-3-30 01:09:20', '机场跑道： 英尺', '机场跑道：0 米')
('中卫 Zhongwei', '中卫沙坡头机场(Zhongwei Shapotou)', 'ZHY', 'ZLZW', '机场三字码：ZHY', '机场四字码：ZLZW', 'FAA代码：', '城市：中卫（Zhongwei）', '电话：', '机场所在地时间：2019-3-30 01:09:20', '机场跑道： 英尺', '机场跑道：0 米')
('巴中 bazhong', '巴中恩阳机场(BAZHONG ENYANG AIRPORT)', '', '', '机场三字码：', '机场四字码：', 'FAA代码：', '城市：巴中（bazhong）', '电话：', '机场所在地时间：2019-3-30 01:09:21', '机场跑道：8530', '机场跑道：2600')
('朝阳 Chaoyang', '朝阳机场(Chaoyang)', 'CHG', 'ZYCY', '机场三字码：CHG', '机场四字码：ZYCY', 'FAA代码：', '城市：朝阳（Chaoyang）', '电话：', '机场所在地时间：2019-3-30 01:09:22', '机场跑道： 英尺', '机场跑道：0 米')
('潍坊 Weifang', '潍坊机场(Weifang)', 'WEF', 'ZSWF', '机场三字码：WEF', '机场四字码：ZSWF', 'FAA代码：', '城市：潍坊（Weifang）', '电话：', '机场所在地时间：2019-3-30 01:09:23', '机场跑道： 英尺', '机场跑道：0 米')
('芒市 Luxi', '芒市机场(Mangshi)', 'LUM', 'ZPLX', '机场三字码：LUM', '机场四字码：ZPLX', 'FAA代码：', '城市：芒市（Luxi）', '电话：', '机场所在地时间：2019-3-30 01:09:23', '机场跑道： 英尺', '机场跑道：0 米')
('安阳 Anyang', '安阳豫东北机场(Anyang Yu Northeast)', '', '', '机场三字码：', '机场四字码：', 'FAA代码：', '城市：安阳（Anyang）', '电话：', '机场所在地时间：2019-3-30 01:09:24', '机场跑道：9186', '机场跑道：2800')
('黑河 Heihe', '黑河瑷珲机场(Heihe)', 'HEK', 'ZYHE', '机场三字码：HEK', '机场四字码：ZYHE', 'FAA代码：', '城市：黑河（Heihe）', '电话：', '机场所在地时间：2019-3-30 01:09:25', '机场跑道： 英尺', '机场跑道：0 米')
('漠河 Mohe', '漠河古莲机场(Gu-Lian)', 'OHE', 'ZYMH', '机场三字码：OHE', '机场四字码：ZYMH', 'FAA代码：', '城市：漠河（Mohe）', '电话：', '机场所在地时间：2019-3-30 01:09:27', '机场跑道： 英尺', '机场跑道：0 米')
('玉树 Yushu', '玉树巴塘机场(Yushu Batang)', 'YUS', 'ZLYS', '机场三字码：YUS', '机场四字码：ZLYS', 'FAA代码：', '城市：玉树（Yushu）', '电话：', '机场所在地时间：2019-3-30 01:09:28', '机场跑道：12762', '机场跑道：3890')
('乌海 Wuhai', '乌海机场(Wuhai)', 'WUA', 'ZBUH', '机场三字码：WUA', '机场四字码：ZBUH', 'FAA代码：', '城市：乌海（Wuhai）', '电话：', '机场所在地时间：2019-3-30 01:09:30', '机场跑道： 英尺', '机场跑道：0 米')
('通化 Tonghua', '通化机场(Tonghua Sanyuanpu)', 'TNH', 'ZYTN', '机场三字码：TNH', '机场四字码：ZYTN', 'FAA代码：', '城市：通化（Tonghua）', '电话：', '机场所在地时间：2019-3-30 01:09:31', '机场跑道： 英尺', '机场跑道：0 米')
('衢州 Quzhou', '(Quzhou)', 'JUZ', 'ZSJU', '机场三字码：JUZ', '机场四字码：ZSJU', 'FAA代码：', '城市：衢州（Quzhou）', '电话：', '机场所在地时间：2019-3-30 01:09:32', '机场跑道： 英尺', '机场跑道：0 米')
('庆阳 Qingyang', '庆阳西峰机场(Qingyang)', 'IQN', 'ZLQY', '机场三字码：IQN', '机场四字码：ZLQY', 'FAA代码：', '城市：庆阳（Qingyang）', '电话：', '机场所在地时间：2019-3-30 01:09:33', '机场跑道： 英尺', '机场跑道：0 米')
('昌都 Bangda', '昌都邦达机场(Qamdo Bangda)', 'BPX', 'ZUBD', '机场三字码：BPX', '机场四字码：ZUBD', 'FAA代码：', '城市：昌都（Bangda）', '电话：', '机场所在地时间：2019-3-29 23:09:34', '机场跑道： 英尺', '机场跑道：0 米')
('哈密 Hami', '哈密机场(Hami)', 'HMI', 'ZWHM', '机场三字码：HMI', '机场四字码：ZWHM', 'FAA代码：', '城市：哈密（Hami）', '电话：', '机场所在地时间：2019-3-29 23:09:36', '机场跑道： 英尺', '机场跑道：0 米')
('三沙 Sansha', '三沙永兴机场(Sansha Yongxing Airport)', '', 'ZJYX', '机场三字码：', '机场四字码：ZJYX', 'FAA代码：', '城市：三沙（Sansha）', '电话：', '机场所在地时间：2019-3-30 01:09:37', '机场跑道：9843', '机场跑道：3000')
('泸州 Luzhou', '(Luzhou)', 'LZO', 'ZULZ', '机场三字码：LZO', '机场四字码：ZULZ', 'FAA代码：', '城市：泸州（Luzhou）', '电话：', '机场所在地时间：2019-3-30 01:09:38', '机场跑道： 英尺', '机场跑道：0 米')
('天水 Tianshui', '天水麦积山机场(Tianshui Maijishan)', 'THQ', 'ZLTS', '机场三字码：THQ', '机场四字码：ZLTS', 'FAA代码：', '城市：天水（Tianshui）', '电话：', '机场所在地时间：2019-3-30 01:09:39', '机场跑道： 英尺', '机场跑道：0 米')
('梧州 Wuzhou', '梧州长洲岛机场(Changzhoudao)', 'WUZ', 'ZGWZ', '机场三字码：WUZ', '机场四字码：ZGWZ', 'FAA代码：', '城市：梧州（Wuzhou）', '电话：', '机场所在地时间：2019-3-30 01:09:40', '机场跑道： 英尺', '机场跑道：0 米')
(' Pingtung', '屏东机场(Pingtung North)', 'PIF', 'RCSQ', '机场三字码：PIF', '机场四字码：RCSQ', 'FAA代码：', '城市：（Pingtung）', '电话：', '机场所在地时间：2019-3-30 01:09:40', '机场跑道：8012 英尺', '机场跑道：2436 米')
('安康 Ankang', '安康机场(Ankang)', 'AKA', 'ZLAK', '机场三字码：AKA', '机场四字码：ZLAK', 'FAA代码：', '城市：安康（Ankang）', '电话：', '机场所在地时间：2019-3-30 01:09:41', '机场跑道： 英尺', '机场跑道：0 米')
('博乐 Bole', '博乐阿拉山口机场(Alashankou Bole (Bortala) airport)', 'BPL', 'ZWBL', '机场三字码：BPL', '机场四字码：ZWBL', 'FAA代码：', '城市：博乐（Bole）', '电话：', '机场所在地时间：2019-3-29 23:09:42', '机场跑道： 英尺', '机场跑道：0 米')
('保山 Baoshan', '保山云瑞机场(Baoshan)', 'BSD', 'ZPBS', '机场三字码：BSD', '机场四字码：ZPBS', 'FAA代码：', '城市：保山（Baoshan）', '电话：', '机场所在地时间：2019-3-30 01:09:42', '机场跑道：7874', '机场跑道：2400')
